country_code,product_category,total_revenue,average_basket_size,number_of_unique_customers
FR,grocery,171617.2,60.407322,2437
FR,sports,172498.19,60.398525,2438
IN,books,176120.7,59.742435,2486
IN,electronics,183689.4,60.844456,2589
IN,fashion,170202.97,60.613594,2432
IN,grocery,174657.23,60.750343,2459
IN,sports,170985.34,59.18496,2461
JP,books,162380.56,59.09045,2328
JP,electronics,172930.97,60.869755,2382
JP,fashion,171778.8,60.44293,2409
JP,grocery,174109.8,61.349472,2424
JP,sports,172915.02,60.12344,2445
NG,books,166084.48,59.06276,2399
NG,electronics,170505.47,59.74263,2490
NG,fashion,170639.9,59.81069,2455
NG,grocery,169448.22,59.30984,2446
NG,sports,176855.97,61.794537,2461
US,books,163953.94,58.849224,2428
US,electronics,166160.34,59.748417,2405
US,fashion,173603.78,59.966763,2502
US,grocery,175257.5,61.022808,2441
US,sports,167188.22,59.6249,2437
BR,books,170699.34,59.53936,2465
BR,electronics,169404.73,59.02604,2424
BR,fashion,176412.95,60.64385,2505
BR,grocery,172537.48,60.688526,2458
BR,sports,169416.05,60.14059,2429
DE,books,174107.31,60.685715,2460
DE,electronics,164915.55,58.77247,2410
DE,fashion,174055.5,60.98651,2443
DE,grocery,177608.19,60.555126,2506
DE,sports,164218.06,59.67226,2378
FR,books,174842.62,61.133785,2460
FR,electronics,173878.7,60.08248,2490
FR,fashion,175448.62,61.32423,2464
FR,grocery,169253.7,59.828102,2440
FR,sports,176280.84,60.41153,2473
IN,books,174634.12,60.89056,2450
IN,electronics,170401.28,59.02365,2496
IN,fashion,171402.7,59.951977,2454
IN,grocery,169371.44,59.138073,2457
IN,sports,171032.4,60.11684,2427
JP,books,170339.4,59.621773,2435
JP,electronics,168815.19,60.11937,2383
JP,fashion,166335.92,59.320942,2397
JP,grocery,167606.97,60.31197,2379
JP,sports,175342.0,60.462757,2469
NG,books,168007.56,59.93848,2399
NG,electronics,172712.55,59.90723,2478
NG,fashion,174393.66,59.096462,2509
NG,grocery,169840.72,59.887417,2419
NG,sports,176590.33,60.914223,2495
US,books,165643.64,59.498436,2392
US,electronics,175816.06,61.026054,2439
US,fashion,164389.31,59.218052,2386
US,grocery,175479.92,60.30238,2522
US,sports,174525.94,59.687393,2511
BR,books,166431.69,59.418667,2417
BR,electronics,174161.1,60.810436,2447
BR,fashion,178586.12,60.435238,2519
BR,grocery,174043.5,60.600105,2451
BR,sports,173070.61,59.392796,2458
DE,books,165392.9,59.881573,2375
DE,electronics,169926.45,60.57984,2447
DE,fashion,169088.84,60.024437,2425
DE,grocery,167359.69,59.68605,2403
DE,sports,170278.64,60.468266,2439
FR,books,172758.88,60.152813,2476
FR,electronics,169155.88,58.73468,2471
FR,fashion,165434.88,59.89677,2369
FR,grocery,169506.06,58.430218,2483
FR,sports,168853.19,60.261665,2404
IN,books,165948.06,59.693546,2408
IN,electronics,173069.78,60.98301,2413
IN,fashion,171456.81,59.9709,2461
IN,grocery,164724.77,59.76951,2395
IN,sports,171821.58,61.233635,2420
JP,books,175370.89,59.731228,2534
JP,electronics,173490.44,60.30255,2483
JP,fashion,178560.75,60.67304,2529
JP,grocery,171338.45,59.451233,2449
JP,sports,174242.89,60.924088,2449
NG,books,165554.97,59.3387,2403
NG,electronics,174346.05,59.666683,2472
NG,fashion,167811.22,59.444286,2412
NG,grocery,175809.38,60.188076,2506
NG,sports,170428.95,59.757698,2456
US,books,178639.64,60.229145,2537
US,electronics,173877.58,59.772285,2486
US,fashion,179434.47,61.0529,2517
US,grocery,177011.67,61.165054,2471
US,sports,169006.27,59.9313,2435
BR,books,170743.52,60.568825,2418
BR,electronics,172984.05,59.526512,2459
BR,fashion,173427.5,61.001583,2455
BR,grocery,167161.39,60.80807,2386
BR,sports,173830.6,60.12819,2448
DE,books,177861.81,60.333042,2528
DE,electronics,175162.34,59.477875,2522
DE,fashion,163252.64,58.387924,2411
DE,grocery,173669.02,60.259895,2452
DE,sports,170650.75,60.79471,2434
FR,books,166134.03,60.280853,2346
FR,electronics,172996.98,59.736526,2461
FR,fashion,169201.56,61.28271,2358
FR,grocery,167401.34,60.259663,2380
FR,sports,167728.19,58.7078,2456
IN,books,170219.86,59.64256,2458
IN,electronics,174095.3,61.409275,2439
IN,fashion,175400.31,59.924946,2512
IN,grocery,172525.06,60.113262,2470
IN,sports,180443.95,60.571987,2528
JP,books,167994.69,58.82167,2436
JP,electronics,163078.3,58.179913,2432
JP,fashion,171767.33,60.502758,2443
JP,grocery,170381.06,60.205322,2427
JP,sports,169301.11,58.907833,2489
NG,books,168704.6,58.375294,2459
NG,electronics,179721.67,61.088264,2510
NG,fashion,180226.2,61.82717,2512
NG,grocery,165654.38,59.738323,2380
NG,sports,167255.77,59.47929,2397
US,books,177525.44,60.609573,2499
US,electronics,176770.7,60.850502,2510
US,fashion,167477.5,59.62175,2405
US,grocery,174084.22,59.92572,2479
US,sports,171920.12,60.98621,2437
BR,books,181720.6,62.190483,2493
BR,electronics,167063.94,60.05174,2404
BR,fashion,171759.56,60.076797,2439
BR,grocery,173115.9,60.4244,2414
BR,sports,178405.78,60.95175,2503
DE,books,172904.56,59.49916,2486
DE,electronics,177511.84,61.3167,2497
DE,fashion,169224.34,60.13658,2407
DE,grocery,167851.2,58.89516,2422
DE,sports,174871.28,60.321243,2482
FR,books,169463.02,59.232094,2437
FR,electronics,164087.73,59.842354,2378
FR,fashion,173024.73,61.399834,2442
FR,grocery,174525.05,60.38929,2476
FR,sports,172654.81,59.20947,2485
IN,books,173061.86,58.407646,2532
IN,electronics,169962.05,61.203472,2374
IN,fashion,171583.69,61.23615,2403
IN,grocery,174368.06,59.329044,2511
IN,sports,169908.14,60.746563,2408
JP,books,170741.53,60.0146,2435
JP,electronics,165685.83,60.846798,2360
JP,fashion,183030.95,61.337452,2565
JP,grocery,171026.27,59.199123,2485
JP,sports,166741.05,60.61107,2377
NG,books,167589.86,58.948246,2459
NG,electronics,171329.06,60.242287,2432
NG,fashion,179694.27,60.646057,2532
NG,grocery,165704.33,59.627323,2378
NG,sports,174043.42,59.870457,2489
US,books,168970.62,59.204845,2433
US,electronics,169078.19,60.04197,2421
US,fashion,175178.28,60.03368,2491
US,grocery,169969.23,59.51304,2463
US,sports,168871.81,60.225327,2403
BR,books,169169.14,59.067436,2442
BR,electronics,167883.77,59.660187,2414
BR,fashion,168953.56,59.637684,2435
BR,grocery,166563.69,57.955353,2454
BR,sports,163534.16,58.114483,2411
DE,books,176491.89,61.218136,2458
DE,electronics,174863.34,60.339317,2450
DE,fashion,167832.34,59.83328,2417
DE,grocery,173263.03,60.49687,2445
DE,sports,168338.61,59.631104,2436
FR,books,174773.77,60.896782,2475
FR,electronics,175041.39,60.46335,2441
FR,fashion,165069.94,59.463234,2363
FR,grocery,173058.98,61.23814,2421
FR,sports,169105.39,59.523193,2438
IN,books,167627.2,61.08863,2354
IN,electronics,163735.19,58.435112,2406
IN,fashion,169558.19,59.89339,2439
IN,grocery,171827.66,58.50448,2532
IN,sports,176221.6,61.337135,2486
JP,books,175114.12,60.845768,2491
JP,electronics,175654.36,60.65413,2477
JP,fashion,174399.3,61.53821,2448
JP,grocery,167415.28,58.90756,2440
JP,sports,172070.39,61.256813,2395
NG,books,177993.7,60.645214,2542
NG,electronics,175468.27,59.703392,2506
NG,fashion,173526.2,60.314983,2476
NG,grocery,180648.56,60.763054,2551
NG,sports,169936.56,58.61903,2471
US,books,173311.48,61.111244,2423
US,electronics,168490.06,59.43212,2432
US,fashion,172535.27,59.721447,2473
US,grocery,169295.27,60.0125,2437
US,sports,176465.06,61.486084,2466
BR,books,173243.73,60.659573,2429
BR,electronics,167723.77,58.93316,2427
BR,fashion,165260.4,58.79061,2415
BR,grocery,171336.19,59.326935,2489
BR,sports,174992.48,60.300648,2479
DE,books,166536.48,59.840633,2403
DE,electronics,174091.69,60.849945,2468
DE,fashion,171181.77,59.81194,2416
DE,grocery,168156.22,59.672184,2426
DE,sports,168199.66,59.75121,2416
FR,books,172354.02,59.762142,2463
FR,electronics,172973.05,60.080948,2504
FR,fashion,173352.23,60.170856,2463
FR,grocery,167769.53,59.78957,2418
FR,sports,173016.81,60.432,2446
IN,books,162433.47,59.74015,2356
IN,electronics,170913.66,59.676556,2453
IN,fashion,171208.11,59.633614,2432
IN,grocery,173512.53,61.074455,2445
IN,sports,173600.62,59.088028,2498
JP,books,179042.36,61.273907,2517
JP,electronics,168328.38,58.938507,2436
JP,fashion,176409.83,60.663628,2510
JP,grocery,166101.92,58.734768,2414
JP,sports,167883.42,59.787544,2419
NG,books,170229.02,58.78074,2475
NG,electronics,164453.11,59.007214,2405
NG,fashion,169906.48,60.229168,2458
NG,grocery,172587.02,60.051155,2436
NG,sports,180055.56,60.78851,2526
US,books,170337.03,60.062424,2456
US,electronics,176291.23,61.425518,2473
US,fashion,176478.89,60.89679,2483
US,grocery,169588.81,58.78295,2473
US,sports,174601.56,61.02816,2428
BR,books,164920.9,59.68907,2365
BR,electronics,176329.97,61.653835,2453
BR,fashion,164374.47,59.106247,2383
BR,grocery,173720.16,60.361416,2461
BR,sports,172655.69,60.158775,2442
DE,books,168990.19,60.03204,2400
DE,electronics,174952.66,59.75159,2497
DE,fashion,175222.64,61.031918,2479
DE,grocery,168696.75,59.1296,2445
DE,sports,171586.27,58.822853,2493
FR,books,171949.25,60.20632,2457
FR,electronics,169332.4,59.834774,2458
FR,fashion,169911.62,60.943913,2395
FR,grocery,173564.3,59.23696,2519
FR,sports,173260.77,60.96438,2426
IN,books,169928.89,58.98261,2479
IN,electronics,172281.23,60.30145,2446
IN,fashion,174190.66,59.613503,2499
IN,grocery,173486.89,60.55389,2449
IN,sports,167377.53,59.799046,2408
JP,books,175270.12,60.899975,2453
JP,electronics,173626.72,60.14088,2468
JP,fashion,171957.23,59.152817,2494
JP,grocery,173487.02,60.322327,2489
JP,sports,169310.55,59.848198,2407
NG,books,163344.31,59.61471,2352
NG,electronics,172043.88,60.345097,2449
NG,fashion,174391.14,60.363842,2464
NG,grocery,168437.4,59.77197,2412
NG,sports,174466.39,60.70508,2452
US,books,172115.7,60.64683,2412
US,electronics,174747.61,60.676254,2479
US,fashion,177119.03,60.53282,2529
US,grocery,167610.98,59.626816,2397
US,sports,170852.86,59.118637,2464
BR,books,172963.2,59.11251,2521
BR,electronics,174210.05,59.722332,2499
BR,fashion,169146.36,60.625935,2398
BR,grocery,174492.7,60.99011,2436
BR,sports,169086.6,59.24548,2438
DE,books,170160.05,60.533634,2420
DE,electronics,174054.25,59.58721,2482
DE,fashion,165487.73,60.774048,2342
DE,grocery,172540.94,60.3501,2487
DE,sports,168482.45,60.323112,2418
FR,books,166504.95,59.02338,2400
FR,electronics,171473.95,59.539566,2436
FR,fashion,166780.75,59.331467,2440
FR,grocery,178119.14,61.08338,2501
FR,sports,173626.02,59.80917,2496
IN,books,177465.98,59.65243,2531
IN,electronics,165977.1,59.489998,2385
IN,fashion,174084.1,59.232426,2502
IN,grocery,169480.66,59.844864,2446
IN,sports,174856.44,60.524902,2490
JP,books,169256.12,59.242607,2456
JP,electronics,165218.27,59.926826,2398
JP,fashion,174857.6,60.56723,2502
JP,grocery,173726.45,59.802567,2472
JP,sports,176059.94,60.273857,2492
NG,books,164581.89,60.66417,2364
NG,electronics,172793.45,59.604504,2471
NG,fashion,171368.6,59.420456,2455
NG,grocery,174078.17,62.104237,2422
NG,sports,170313.94,59.843266,2443
US,books,170934.45,59.89294,2441
US,electronics,170724.2,58.85012,2505
US,fashion,171339.67,60.522667,2437
US,grocery,170034.81,59.12198,2445
US,sports,168893.05,59.156933,2450
BR,books,179569.75,61.32847,2517
BR,electronics,166045.84,60.052746,2376
BR,fashion,173731.88,60.787918,2430
BR,grocery,168640.06,60.705566,2389
BR,sports,181354.92,59.892643,2550
DE,books,170253.48,59.633446,2432
DE,electronics,174288.52,60.74887,2482
DE,fashion,173592.98,61.645237,2403
DE,grocery,168820.75,59.929268,2436
DE,sports,169279.52,59.417168,2451
FR,books,171081.81,60.645805,2437
FR,electronics,173892.56,60.780342,2451
FR,fashion,169471.27,59.799316,2430
FR,grocery,171338.56,59.69985,2437
FR,sports,169534.3,59.38154,2477
IN,books,176148.8,60.5947,2497
IN,electronics,168772.16,60.039898,2408
IN,fashion,172174.45,59.762047,2439
IN,grocery,168169.22,59.953377,2417
IN,sports,173286.95,60.781113,2432
JP,books,178857.0,60.0998,2544
JP,electronics,171005.94,60.426125,2437
JP,fashion,165208.33,59.47024,2406
JP,grocery,173239.73,60.383316,2463
JP,sports,166917.69,60.8079,2375
NG,books,182141.8,60.431915,2582
NG,electronics,167569.92,59.379845,2407
NG,fashion,172592.53,58.70494,2509
NG,grocery,173881.7,60.12507,2470
NG,sports,175275.34,60.39812,2479
US,books,175191.34,60.724903,2483
US,electronics,170618.34,60.46008,2428
US,fashion,171457.92,59.929367,2504
US,grocery,169250.7,60.060577,2427
US,sports,168042.02,60.294945,2416
BR,books,168502.2,59.85869,2403
BR,electronics,171174.48,59.725918,2414
BR,fashion,169824.19,59.192814,2461
BR,grocery,169380.34,59.286083,2430
BR,sports,163862.45,59.478203,2385
DE,books,175425.95,60.617123,2469
DE,electronics,171151.27,59.947903,2433
DE,fashion,163636.12,58.04758,2415
DE,grocery,174696.7,59.199154,2502
DE,sports,168029.66,58.81332,2451
FR,books,170172.6,59.962154,2419
FR,electronics,169268.23,59.87557,2447
FR,fashion,176424.7,60.481556,2500
FR,grocery,173982.1,60.726734,2466
FR,sports,173973.67,61.67092,2438
IN,books,172491.08,60.396034,2445
IN,electronics,169603.73,59.76171,2446
IN,fashion,168223.25,59.0879,2423
IN,grocery,171304.77,60.403656,2430
IN,sports,170132.14,59.926785,2447
JP,books,173041.33,60.780235,2462
JP,electronics,166883.55,58.94862,2411
JP,fashion,170067.12,58.342068,2487
JP,grocery,169937.52,58.720634,2493
JP,sports,174826.48,60.430862,2514
NG,books,172805.52,59.547043,2504
NG,electronics,172505.9,60.422382,2451
NG,fashion,165024.67,59.254818,2408
NG,grocery,176614.16,59.991222,2504
NG,sports,173851.88,60.093975,2499
US,books,174271.22,61.427994,2423
US,electronics,169082.62,59.704315,2439
US,fashion,166047.92,59.19712,2427
US,grocery,174468.22,60.057907,2483
US,sports,170179.62,59.9224,2426
BR,books,172914.22,59.359497,2489
BR,electronics,169475.53,60.055115,2415
BR,fashion,172038.88,60.279915,2447
BR,grocery,172995.56,59.65364,2479
BR,sports,175183.88,61.018417,2437
DE,books,169413.86,60.011993,2424
DE,electronics,166750.05,59.960464,2368
DE,fashion,172025.9,60.872578,2406
DE,grocery,170155.6,59.5366,2453
DE,sports,168665.23,59.87406,2420
FR,books,173088.1,61.16187,2414
FR,electronics,178130.61,59.976635,2554
FR,fashion,171250.45,59.17431,2475
FR,grocery,168864.52,59.58522,2468
FR,sports,172515.3,60.00532,2456
IN,books,172425.38,59.890717,2447
IN,electronics,175509.34,60.45792,2481
IN,fashion,171607.38,61.46396,2415
IN,grocery,175051.03,60.25853,2465
IN,sports,168732.36,59.60168,2417
JP,books,169110.2,60.43967,2400
JP,electronics,172818.66,58.582596,2531
JP,fashion,169004.77,59.78237,2428
JP,grocery,175365.61,60.7432,2474
JP,sports,174877.84,60.574245,2463
NG,books,173722.81,60.784748,2449
NG,electronics,172085.7,60.254097,2444
NG,fashion,168891.98,58.39972,2459
NG,grocery,174333.7,60.63781,2433
NG,sports,180773.11,61.78165,2511
US,books,166870.08,60.394527,2392
US,electronics,167230.14,59.19651,2439
US,fashion,163512.42,58.418156,2409
US,grocery,169278.34,58.81805,2466
US,sports,169227.89,60.416954,2455
BR,books,172089.72,59.87812,2461
BR,electronics,174137.31,59.92337,2483
BR,fashion,170233.16,59.397472,2488
BR,grocery,171175.31,60.209396,2436
BR,sports,167887.98,59.810467,2429
DE,books,174812.94,60.426178,2466
DE,electronics,172289.77,60.51625,2434
DE,fashion,176582.38,60.164352,2500
DE,grocery,172525.77,59.86321,2473
DE,sports,174595.95,60.060528,2459
FR,books,171892.64,59.809547,2484
FR,electronics,169827.11,59.98838,2423
FR,fashion,171719.44,60.167988,2456
FR,grocery,171073.4,60.343353,2416
FR,sports,164105.7,58.4214,2384
IN,books,168253.05,59.516464,2453
IN,electronics,166058.98,59.99241,2379
IN,fashion,169483.25,59.36366,2450
IN,grocery,174786.97,60.837788,2476
IN,sports,169033.62,59.43517,2429
JP,books,165065.05,58.060165,2436
JP,electronics,169701.7,59.73309,2459
JP,fashion,174279.5,60.513714,2488
JP,grocery,174929.19,60.52913,2485
JP,sports,165829.38,60.52167,2347
NG,books,174145.3,60.25789,2463
NG,electronics,167489.95,58.706608,2448
NG,fashion,172158.44,59.591015,2479
NG,grocery,172952.73,60.199352,2470
NG,sports,172144.84,59.524498,2452
US,books,170258.69,59.34426,2464
US,electronics,172134.66,60.632145,2448
US,fashion,166856.81,59.064358,2408
US,grocery,170619.11,59.242744,2463
US,sports,172206.62,60.086052,2439
BR,books,170734.44,60.501217,2415
BR,electronics,170758.38,59.894203,2433
BR,fashion,162933.2,58.419937,2417
BR,grocery,171276.34,60.500298,2432
BR,sports,172646.48,60.281593,2455
DE,books,171965.16,60.958935,2425
DE,electronics,177061.73,60.2046,2514
DE,fashion,169000.42,58.51815,2445
DE,grocery,164513.88,58.545864,2422
DE,sports,173593.86,60.527843,2451
FR,books,176300.84,60.730568,2478
FR,electronics,168358.08,59.260147,2450
FR,fashion,175033.45,60.107643,2511
FR,grocery,171868.52,60.666615,2455
FR,sports,176453.88,62.52795,2427
IN,books,177308.89,61.544216,2472
IN,electronics,169449.56,61.01893,2375
IN,fashion,173386.1,60.245342,2428
IN,grocery,164617.48,59.214924,2391
IN,sports,168098.56,59.651726,2416
JP,books,176257.17,59.95142,2496
JP,electronics,169365.34,59.46817,2465
JP,fashion,166338.25,59.385307,2402
JP,grocery,176156.84,58.935043,2518
JP,sports,175169.23,59.886917,2471
NG,books,170523.75,60.771114,2392
NG,electronics,173494.98,60.13691,2489
NG,fashion,174372.95,61.07634,2469
NG,grocery,175701.33,60.88057,2450
NG,sports,175486.25,60.95389,2488
US,books,174715.19,59.386536,2493
US,electronics,172000.2,61.014618,2403
US,fashion,171572.81,59.3267,2478
US,grocery,169895.8,60.396656,2415
US,sports,168560.1,60.415806,2368
BR,books,167278.47,59.234585,2413
BR,electronics,178304.4,60.380768,2511
BR,fashion,165490.92,59.29449,2379
BR,grocery,174753.95,60.239212,2467
BR,sports,178540.6,60.27704,2489
DE,books,166898.61,59.906178,2383
DE,electronics,168532.1,60.492496,2424
DE,fashion,168600.14,58.440258,2457
DE,grocery,165594.88,59.998142,2345
DE,sports,174371.22,60.086567,2478
FR,books,166038.7,59.25721,2400
FR,electronics,174295.28,61.22068,2458
FR,fashion,170395.66,59.474922,2456
FR,grocery,178031.4,60.969658,2468
FR,sports,170990.73,59.371784,2446
IN,books,172279.38,60.132416,2430
IN,electronics,165584.58,59.99441,2356
IN,fashion,167609.11,59.39373,2430
IN,grocery,173321.67,60.62318,2436
IN,sports,176763.02,61.058037,2478
JP,books,176009.6,61.11444,2470
JP,electronics,169016.0,58.972786,2472
JP,fashion,164900.14,59.876595,2389
JP,grocery,167455.48,59.550316,2422
JP,sports,171185.97,59.750774,2464
NG,books,169258.14,60.169975,2407
NG,electronics,171609.64,58.509937,2476
NG,fashion,166729.56,58.114174,2454
NG,grocery,171100.45,60.183064,2428
NG,sports,173752.95,59.93548,2448
US,books,171225.31,59.45323,2480
US,electronics,175979.36,61.125168,2490
US,fashion,167070.8,58.703724,2426
US,grocery,177636.77,60.359077,2534
US,sports,171769.5,60.206623,2471
BR,books,165096.77,60.013363,2371
BR,electronics,172240.4,60.20287,2472
BR,fashion,173506.58,60.581905,2451
BR,grocery,180476.67,60.33991,2524
BR,sports,170472.34,59.75196,2455
DE,books,173247.52,60.38603,2469
DE,electronics,170312.4,60.73909,2429
DE,fashion,171063.33,59.4796,2456
DE,grocery,168229.8,60.623352,2383
DE,sports,177351.69,60.508934,2506
FR,books,175230.95,60.549744,2459
FR,electronics,166065.84,58.993195,2411
FR,fashion,167037.94,57.778603,2454
FR,grocery,172432.05,60.059925,2466
FR,sports,170471.8,59.96194,2425
IN,books,175656.48,60.970665,2490
IN,electronics,168496.86,59.814293,2433
IN,fashion,170311.62,60.138287,2429
IN,grocery,170028.39,60.8113,2414
IN,sports,166238.88,59.117664,2366
JP,books,174148.73,61.040565,2458
JP,electronics,173019.17,59.971985,2469
JP,fashion,173502.69,59.500237,2487
JP,grocery,174845.64,59.89916,2497
JP,sports,174545.27,59.450024,2508
NG,books,173160.58,59.710545,2457
NG,electronics,178300.12,60.58448,2498
NG,fashion,161917.62,59.158794,2360
NG,grocery,172435.75,60.503773,2439
NG,sports,168472.14,59.848007,2421
US,books,168949.8,59.826416,2440
US,electronics,171679.52,59.943966,2472
US,fashion,162895.77,59.170273,2358
US,grocery,172362.95,58.309525,2536
US,sports,168942.22,59.86613,2406
BR,books,171385.53,60.41083,2434
BR,electronics,172297.3,59.453865,2494
BR,fashion,169166.39,59.92433,2417
BR,grocery,162610.22,58.283234,2420
BR,sports,171572.97,60.32805,2451
DE,books,168737.73,60.156055,2431
DE,electronics,175785.58,60.74139,2448
DE,fashion,178039.31,61.014156,2490
DE,grocery,169975.86,60.019726,2470
DE,sports,169824.34,60.543438,2414
FR,books,173530.66,59.81753,2457
FR,electronics,178457.16,61.05274,2468
FR,fashion,174597.98,59.427498,2542
FR,grocery,164947.94,60.178013,2395
FR,sports,171537.84,60.315697,2432
IN,books,168920.11,58.409443,2465
IN,electronics,165878.52,58.04007,2468
IN,fashion,168072.94,59.684994,2435
IN,grocery,174063.3,60.04253,2452
IN,sports,173965.52,60.46768,2418
JP,books,172496.81,61.060818,2428
JP,electronics,169748.2,59.519005,2454
JP,fashion,167652.03,58.660614,2473
JP,grocery,171178.81,58.96618,2489
JP,sports,169939.94,59.816944,2437
NG,books,166726.52,59.080975,2424
NG,electronics,172084.69,59.257812,2469
NG,fashion,169422.38,59.155857,2460
NG,grocery,168637.39,58.453167,2461
NG,sports,175320.88,60.79087,2465
US,books,169156.98,60.60802,2380
US,electronics,175090.67,60.334484,2483
US,fashion,169396.92,60.04854,2416
US,grocery,170275.42,59.10289,2447
US,sports,167449.7,59.12772,2399
BR,books,167998.02,59.19592,2456
BR,electronics,167751.36,59.932606,2383
BR,fashion,164325.45,59.950912,2349
BR,grocery,171220.08,60.246334,2436
BR,sports,174675.2,59.799797,2483
DE,books,174028.94,60.15518,2486
DE,electronics,171763.48,60.204517,2451
DE,fashion,170949.45,60.10881,2444
DE,grocery,173439.78,60.284943,2447
DE,sports,176111.3,60.60265,2499
FR,books,171130.69,60.641632,2410
FR,electronics,180413.77,59.83873,2565
FR,fashion,166707.9,57.9652,2478
FR,grocery,175405.98,60.715122,2471
FR,sports,171862.77,60.00795,2464
IN,books,171032.53,60.286404,2441
IN,electronics,175795.14,60.38995,2476
IN,fashion,174852.19,59.574852,2500
IN,grocery,165317.1,59.46658,2379
IN,sports,169594.25,59.842712,2426
JP,books,172005.38,60.183826,2424
JP,electronics,167420.38,58.334625,2475
JP,fashion,175826.8,60.214657,2465
JP,grocery,175829.25,60.69356,2489
JP,sports,170295.45,60.026596,2409
NG,books,170664.1,59.861134,2432
NG,electronics,166362.3,60.407516,2404
NG,fashion,162594.47,58.740776,2373
NG,grocery,168206.73,60.116776,2422
NG,sports,173143.44,60.794746,2420
US,books,174671.2,60.189938,2457
US,electronics,171340.6,60.458923,2440
US,fashion,174310.52,60.798923,2443
US,grocery,171702.16,59.2485,2481
US,sports,167322.2,59.31308,2399
BR,books,170859.22,59.971645,2441
BR,electronics,171744.89,59.633644,2448
BR,fashion,172642.8,59.49097,2465
BR,grocery,175497.39,60.683746,2479
BR,sports,171041.86,58.939304,2488
DE,books,170803.72,59.847134,2470
DE,electronics,167053.83,59.662083,2422
DE,fashion,175857.06,60.163208,2513
DE,grocery,179734.23,61.573906,2506
DE,sports,175209.23,60.626034,2447
FR,books,167560.05,59.355312,2410
FR,electronics,168828.08,59.55135,2419
FR,fashion,172655.05,60.43229,2449
FR,grocery,170806.84,59.764465,2461
FR,sports,172974.69,61.05707,2460
IN,books,173315.7,60.325687,2480
IN,electronics,163724.47,57.791904,2428
IN,fashion,175165.12,60.694775,2465
IN,grocery,167859.34,60.381058,2403
IN,sports,172102.34,59.965973,2459
JP,books,166913.22,58.75157,2432
JP,electronics,170855.14,60.223877,2422
JP,fashion,169600.66,59.950745,2433
